code	text
b	如果
c	不是
d	哪个
e	突然
f	开始
g	地方
h	孩子
i	为什么
j	什么
j	介绍
k	没有
l	而且
m	所以
m	所有
n	现在
o	自己
o	是否
p	起来
q	特别
r	因为
r	团队
s	出来
t	我们
t	翻译
u	工作
u	执行
w	怎么
x	应该
x	速度
y	配置
z	可以
z	可能
ak	承认
at	帮助
dc	虽然
dj	哈哈
fi	一般
ha	情况
hz	登陆
in	主要
in	主人
ip	继续
ir	经常
jp	代码
ku	过滤
kw	学校
lf	方向
nb	区别
ne	现实
nf	感觉
nu	左右
nv	有没有
oj	是什么
ok	时间
qf	考虑
qi	眼睛
rf	非常
rg	等等
rk	对比
rk	对不起
sh	办法
sq	讲解
sw	语言
sz	谢谢
tn	随机
uq	看看
vg	脚本
vh	改成
vi	已经
vu	这样
vu	这么
vv	比较
ww	实现
ww	实际
xh	意思
xh	意义
xt	解决
xt	解释
xu	原来
xu	原理
yb	当然
zc	变态
zh	其实
zs	身体
zz	哥哥
adk	问题
bnm	妈妈
eab	校园
eqh	想想
eqm	相对
ezo	杭州
ffy	一下
ghd	善哉
ghr	增强
gil	垃圾
gpd	域名
hsu	逆天
imi	编辑
jde	保留
jjp	价值
kle	游戏
kme	参数
kvp	浏览器
lyl	萝莉
mbp	刚刚
nqf	直接
opr	尴尬
pro	临时
pyd	粘贴
saf	词语
usl	功能
xxb	稳定
ylu	逻辑
zha	甚至
zhg	基本
zyu	链接
hoyr	慢慢
hqll	睡觉
jaiv	舒服
llll	多多
spsp	试试
vujg	这个
